Start of new run - 12/14/11 17:16:21
width, voltage, fitness
90, 50, 0.99597273853779
90, 55, 0.99088699878493
90, 60, 0.98501529051988
90, 65, 0.97671568627451
90, 70, 0.95645460160593
90, 75, 0.86568083795441
90, 80, 0.72682777607831
90, 85, 0.76569165143205
90, 90, 0.75061274509804
90, 95, 0.6130021465808
94, 0, 0.57823769206648
94, 5, 0.72788697788698
94, 10, 0.844375
94, 15, 0.89004276114844
94, 20, 0.96263125386041
94, 25, 1
94, 30, 1
94, 35, 1
94, 40, 1
94, 45, 0.99969068976183
94, 50, 0.997861289337
94, 55, 0.99503568104251
94, 60, 0.98595848595849
94, 65, 0.97731397459165
94, 70, 0.96398633964607
94, 75, 0.82012847965739
94, 80, 0.74450549450549
94, 85, 0.81357493857494
94, 90, 0.72049878345499
94, 95, 0.6
98, 0, 0.57551522608428
98, 5, 0.71979356405586
98, 10, 0.85186335403727
98, 15, 0.9049371358479
98, 20, 0.9808936825886
98, 25, 1
98, 30, 1
98, 35, 1
98, 40, 1
98, 45, 0.99969306322897
98, 50, 0.9984544049459
98, 55, 0.99627560521415
98, 60, 0.99059466019417
98, 65, 0.98508371385084
98, 70, 0.93159014898145
98, 75, 0.77933556842426
98, 80, 0.78658536585366
98, 85, 0.8044623489309
98, 90, 0.70932415519399
98, 95, 0.63891487371375
102, 0, 0.58624923265807
102, 5, 0.73146417445483
102, 10, 0.86175115207373
102, 15, 0.92152053954629
102, 20, 0.99688182101653
102, 25, 1
102, 30, 1
102, 35, 1
102, 40, 1
102, 45, 1
102, 50, 0.99969315741025
102, 55, 0.99509653692921
102, 60, 0.99086201644837
102, 65, 0.98085237801112
102, 70, 0.88497217068646
102, 75, 0.79102167182663
102, 80, 0.81843489019487
102, 85, 0.77412415488629
102, 90, 0.71116656269495
102, 95, 0.64040465971796
106, 0, 0.58695652173913
106, 5, 0.74697336561743
106, 10, 0.85774946921444
106, 15, 0.94510886231217
106, 20, 1
106, 25, 1
106, 30, 1
106, 35, 1
106, 40, 1
106, 45, 0.99969540054828
106, 50, 0.99877713237542
106, 55, 0.99722222222222
106, 60, 0.99166151945645
106, 65, 0.9704195593118
106, 70, 0.86083743842365
106, 75, 0.82544019429265
106, 80, 0.81518755718207
106, 85, 0.76231003039514
106, 90, 0.72593048292833
106, 95, 0.69505072241008
110, 0, 0.57968797797492
110, 5, 0.74922215308027
110, 10, 0.87332293291732
110, 15, 0.94395099540582
110, 20, 1
110, 25, 1
110, 30, 1
110, 35, 1
110, 40, 1
110, 45, 1
110, 50, 0.99908200734394
110, 55, 0.99629743906202
110, 60, 0.99043209876543
110, 65, 0.94582043343653
110, 70, 0.87084870848708
110, 75, 0.85304990757856
110, 80, 0.78353658536585
110, 85, 0.7726719415703
110, 90, 0.72362739049969
110, 95, 0.70704225352113
114, 0, 0.58165137614679
114, 5, 0.74788902291918
114, 10, 0.86919315403423
114, 15, 0.96190185918927
114, 20, 1
114, 25, 1
114, 30, 1
114, 35, 1
114, 40, 1
114, 45, 0.99969660194175
114, 50, 0.99814528593509
114, 55, 0.99605582524272
114, 60, 0.98927696078431
114, 65, 0.91191066997519
114, 70, 0.8807423182233
114, 75, 0.84322678843227
114, 80, 0.78335373317013
114, 85, 0.74915876414806
114, 90, 0.73954489544895
114, 95, 0.71561051004637
118, 0, 0.58074344911639
118, 5, 0.74899784150478
118, 10, 0.86113671274962
118, 15, 0.98157248157248
118, 20, 1
118, 25, 1
118, 30, 1
118, 35, 1
118, 40, 1
118, 45, 0.9987511707774
118, 50, 0.99877375843041
118, 55, 0.99658066521604
118, 60, 0.97307335190344
118, 65, 0.90448222565688
118, 70, 0.87456990928996
118, 75, 0.84246363354998
118, 80, 0.79336813018115
118, 85, 0.76083567196757
118, 90, 0.72718836993504
118, 95, 0.71490954460387
122, 0, 0.57355679702048
122, 5, 0.75632325724861
122, 10, 0.87956989247312
122, 15, 0.99760693987436
122, 20, 1
122, 25, 1
122, 30, 1
