Start of new run - 12/13/2011 11:49:38 AM
iterationVoltage no=12, best_conf_fitness=0.85382513661202 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=13, best_conf_fitness=0.8575624082232 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=14, best_conf_fitness=0.8575624082232 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=15, best_conf_fitness=0.8575624082232 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=16, best_conf_fitness=0.8575624082232 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=17, best_conf_fitness=0.8575624082232 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=18, best_conf_fitness=0.8575624082232 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=19, best_conf_fitness=0.8575624082232 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.71587743732591 ,e1=185 ,e2=2 ,e3=29
iterationVoltage no=2, best_conf_fitness=0.74053295932679 ,e1=174.89148533586 ,e2=2.1137180700095 ,e3=0
iterationVoltage no=3, best_conf_fitness=0.7797783933518 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=4, best_conf_fitness=0.7797783933518 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=5, best_conf_fitness=0.7797783933518 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=6, best_conf_fitness=0.78189300411523 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=7, best_conf_fitness=0.78189300411523 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=8, best_conf_fitness=0.78189300411523 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.78189300411523 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.78189300411523 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.79172610556348 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=12, best_conf_fitness=0.79172610556348 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=13, best_conf_fitness=0.79172610556348 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=14, best_conf_fitness=0.79172610556348 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=15, best_conf_fitness=0.79172610556348 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=16, best_conf_fitness=0.79172610556348 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=17, best_conf_fitness=0.80477528089888 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=18, best_conf_fitness=0.80477528089888 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=19, best_conf_fitness=0.80477528089888 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=20, best_conf_fitness=0.80477528089888 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=21, best_conf_fitness=0.80477528089888 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=22, best_conf_fitness=0.80477528089888 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=23, best_conf_fitness=0.80477528089888 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.72260748959778 ,e1=170 ,e2=149 ,e3=49
iterationVoltage no=2, best_conf_fitness=0.72260748959778 ,e1=170 ,e2=149 ,e3=49
iterationVoltage no=3, best_conf_fitness=0.7414030261348 ,e1=159.66670852808 ,e2=200 ,e3=36.876446117131
iterationVoltage no=4, best_conf_fitness=0.77914951989026 ,e1=192.69130414274 ,e2=200 ,e3=0
iterationVoltage no=5, best_conf_fitness=0.81285714285714 ,e1=200 ,e2=200 ,e3=4.3029927901327
iterationVoltage no=6, best_conf_fitness=0.81285714285714 ,e1=200 ,e2=200 ,e3=4.3029927901327
iterationVoltage no=7, best_conf_fitness=0.81285714285714 ,e1=200 ,e2=200 ,e3=4.3029927901327
iterationVoltage no=8, best_conf_fitness=0.81285714285714 ,e1=200 ,e2=200 ,e3=4.3029927901327
iterationVoltage no=9, best_conf_fitness=0.81285714285714 ,e1=200 ,e2=200 ,e3=4.3029927901327
iterationVoltage no=10, best_conf_fitness=0.81285714285714 ,e1=200 ,e2=200 ,e3=4.3029927901327
iterationVoltage no=11, best_conf_fitness=0.81285714285714 ,e1=200 ,e2=200 ,e3=4.3029927901327
iterationVoltage no=1, best_conf_fitness=0.62607449856734 ,e1=189 ,e2=46 ,e3=167
iterationVoltage no=2, best_conf_fitness=0.70919067215364 ,e1=200 ,e2=70.510889004181 ,e3=79.150608844264
iterationVoltage no=3, best_conf_fitness=0.75561797752809 ,e1=200 ,e2=132.76897300796 ,e3=0
iterationVoltage no=4, best_conf_fitness=0.78005464480874 ,e1=200 ,e2=85.922646053914 ,e3=0
iterationVoltage no=5, best_conf_fitness=0.78611111111111 ,e1=200 ,e2=118.29637636099 ,e3=0
iterationVoltage no=6, best_conf_fitness=0.80111265646732 ,e1=200 ,e2=83.656969459887 ,e3=0
iterationVoltage no=7, best_conf_fitness=0.80200860832138 ,e1=200 ,e2=42.416761219077 ,e3=0
iterationVoltage no=8, best_conf_fitness=0.80200860832138 ,e1=200 ,e2=42.416761219077 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.80200860832138 ,e1=200 ,e2=42.416761219077 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.80200860832138 ,e1=200 ,e2=42.416761219077 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.80200860832138 ,e1=200 ,e2=42.416761219077 ,e3=0
iterationVoltage no=12, best_conf_fitness=0.80200860832138 ,e1=200 ,e2=42.416761219077 ,e3=0
iterationVoltage no=13, best_conf_fitness=0.80200860832138 ,e1=200 ,e2=42.416761219077 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.71971830985915 ,e1=197 ,e2=49 ,e3=111
iterationVoltage no=2, best_conf_fitness=0.81855388813097 ,e1=200 ,e2=0 ,e3=9.0596484267708
