Start of new run - 12/12/2011 6:53:31 PM
n	 fitness	 s1	 s2	 s3	 Vs1	 Vs2	 Vs3
19	0.33954154727794	125.48230483646	100	177.76615104198	-24.484243044821	53.027808620717	-11.076754265136
20	0.35352112676056	25	50	149.44854420569	-6.3686067681082	-4.8764145198218	-13.27834481932
1	0.35261707988981	68.979315113473	60.870286634907	161.38686635306	11.186697158067	10.870286634907	4.8311530785662
2	0.33286516853933	101.1088776595	100	182.28756462508	22.503841834572	67.302648606915	-7.7124353749165
3	0.35233918128655	94.638394600895	100	137.15602981949	19.616342997964	108.13676852123	-14.373670773731
4	0.36118980169972	78.413670067631	100	174.49601896366	29.377926713351	41.513167862343	20.874619555582
5	0.34530386740331	99.51572389963	100	181.2402617215	-28.808027939251	82.346338485342	8.1325180156747
6	0.35384615384615	138.62764757817	100	183.52994226721	3.1987111914834	115.4027690117	-6.4700577327863
7	0.34370579915134	104.36977810198	100	190	19.610405048246	29.456433317628	3.9857972586477
8	0.34909596662031	91.06129224368	100	143.13510794537	33.334720364123	65.532941793974	-14.947961416196
9	0.35663338088445	45.315274018237	100	147.3216472851	20.315274018237	100.66291200856	28.164464276857
10	0.34668508287293	135.93828580509	100	190	0.67203818585768	42.748017204842	12.438374192979
11	0.34560906515581	106.60054231404	100	159.80263670191	-9.6702815977297	88.466806526048	-1.5814826469818
12	0.35097493036212	90.826491447109	100	190	9.6499028137953	47.698500472976	6.2999721276919
13	0.35507246376812	99.110391082631	100	190	-5.0444002514497	25.283468109608	17.664751194744
14	0.35607094133697	78.850754982438	100	145.90114427129	-19.712718385163	95.123963433471	11.551853364443
15	0.35057471264368	78.165197192114	100	169.22437908507	-31.957997817561	31.657208113781	-13.791814638386
16	0.35116598079561	115.47510098099	100	182.45166631925	-3.2894198704476	79.89698602316	-0.0371782432921
17	0.34653465346535	63.743986078115	100	146.95678643067	6.4618149751461	40.051598279383	4.9189798213629
18	0.34620886981402	65.789323724905	100	187.63593673445	14.982391806323	21.723131293342	-2.3640632655498
19	0.34788937409025	77.396206585893	100	153.53630234281	-48.08609825057	58.880336453368	-24.229848699163
20	0.34078212290503	44.588362554596	76.470109344343	141.42196989783	19.588362554596	26.470109344343	-8.0265743078552
1	0.34873323397914	74.167241359194	87.016544764217	173.44923333489	5.1879262457209	26.146258129311	12.062366981828
2	0.35080058224163	112.00708078394	100	170.93963734227	10.898203124434	67.152601648381	-11.34792728281
3	0.35104895104895	91.875527211021	100	137.71610788335	-2.7628673898745	105.5572296738	0.56007806386234
4	0.34261838440111	105.01340514076	100	190	26.599735073132	37.783983099181	18.553537391642
5	0.35775862068966	76.062742679599	100	181.82902017937	-23.452981220032	76.077096647062	0.5887584578653
6	0.34366197183099	121.00386411873	100	167.57285824889	-17.623783459441	115.43010586827	-15.957084018325
7	0.34770114942529	99.251527054391	100	181.52004629343	-5.1182510475861	27.432427064758	-8.4799537065737
8	0.34813753581662	121.71594779246	100	128.21780512447	30.654655548778	69.785714694261	-14.917302820894
9	0.3469387755102	71.491835432416	100	162.76819735747	26.17656141418	99.389186498798	15.44655007237
10	0.34620886981402	127.57655949406	100	190	-8.3617263110381	42.250186217107	2.8809352529727
11	0.33664772727273	94.335871753489	100	158.63520414363	-12.26467056055	89.656442899719	-1.1674325582746
12	0.34210526315789	98.017946219741	100	190	7.1914547726321	46.036960615808	1.2393799498423
13	0.34702549575071	92.598854311512	100	190	-6.511536771119	12.95410198043	14.741700862403
14	0.34751773049645	62.755451737599	100	158.42236378877	-16.095303244839	90.152989863036	12.521219517479
15	0.34632034632035	59.994179559304	100	159.36187425566	-18.17101763281	32.288539214388	-9.8625048294015
16	0.35048678720445	96.056318145072	100	167.68541535618	-19.418782835915	82.930573043574	-14.766250963077
17	0.34716459197787	96.934509550108	100	164.3619534757	33.190523471993	43.765301942152	17.405167045032
18	0.35552407932011	87.955471372326	100	173.07087638169	22.166147647422	29.995686476639	-14.565060352761
19	0.34163208852006	35.082020719702	100	131.77300987656	-42.31418586619	56.083095373723	-21.763292466251
20	0.34349030470914	80.456925388315	100	145.58241300308	35.868562833719	44.398811814939	4.1604431052478
1	0.35399449035813	70.541651324432	100	186.46827576451	-3.6255900347616	19.84346151681	13.019042429626
2	0.3495145631068	96.63304141007	100	161.9782192846	-15.374039373867	70.523647828341	-8.9614180576773
3	0.34763948497854	80.334696140525	100	143.64838616753	-11.540831070496	97.706484275319	5.9322782841771
4	0.34094151212553	125.89796318017	100	190	20.884558039402	35.179265626691	14.009227046459
5	0.3422159887798	61.463259887576	100	174.70929121462	-14.599482792023	69.93915839872	-7.1197289647475
6	0.34036568213783	95.836942280145	100	154.07435370123	-25.166921838586	116.63308972708	-13.498504547658
7	0.3562412342216	81.797525598809	100	165.96274780335	-17.454001455581	30.209122619991	-15.557298490072
8	0.33986013986014	136.33723985057	100	121.01012411288	14.621292058111	75.389079319076	-7.2076810115916
9	0.3515406162465	86.052185616414	100	162.13878531671	14.560350183998	91.884363127705	-0.62941204076341
10	0.35286103542234	112.78250087569	100	183.40725192882	-14.794058618362	43.184321622314	-6.5927480711779
11	0.34555712270804	84.295937779549	100	157.83108700194	-10.03993397394	82.959971863326	-0.80411714169118
12	0.33755274261603	100.65299633965	100	186.221605583	2.6350501199065	44.026727489498	-3.7783944169962
13	0.34315169366716	85.01896452372	100	189.99648063425	-7.5798897877922	12.983805463835	-0.0035193657485344
14	0.34195402298851	62.903975965802	100	170.013558724	0.14852422820289	96.750850458019	11.591194935224
15	0.36056338028169	53.430374626803	100	153.72212393773	-6.5638049325016	31.816361216897	-5.6397503179305
16	0.34764542936288	65.845045568372	100	141.57833829932	-30.211272576699	84.435422169467	-26.107077056852
17	0.35075653370014	132.73824628973	100	181.87997572745	35.803736739623	49.919000331573	17.518022251748
18	0.33817126269956	104.67371795046	100	158.07698170489	16.718246578129	29.856495648123	-14.993894676802
19	0.35654596100279	25	100	125.11269894955	-11.345945803811	61.461754432804	-6.6603109270097
20	0.35082872928177	104.35887698113	100	151.87585966704	23.901951592817	32.836734521503	6.2934466639585
1	0.35674157303371	65.413605492061	100	190	-5.1280458323707	15.874527212415	8.6467916288815
2	0.34122562674095	79.221243195188	100	152.85404104621	-17.411798214883	75.409330471271	-9.124178238391
3	0.34800550206327	70.890848920197	100	155.84103345798	-9.4438472203286	98.850170391688	12.192647290453
4	0.34794520547945	138.83394578459	100	190	12.935982604423	32.859373672011	9.8840097291304
5	0.33520336605891	59.159268381612	100	159.46319726452	-2.3039915059641	64.079615556071	-15.246093950098
6	0.35724331926864	76.99895061275	100	146.05185965993	-18.837991667395	109.33594183106	-8.0224940412962
7	0.35072463768116	68.662115810059	100	149.47363354749	-13.135409788751	37.191628431053	-16.489114255859
8	0.35042735042735	142.37551346019	100	118.68410542155	6.0382736096203	72.341864248889	-2.3260186913345
9	0.35203366058906	97.775192206726	100	160.07583534454	11.723006590312	83.10908639622	-2.0629499721683
10	0.35172413793103	89.83744703733	100	166.11080160704	-22.945053838364	51.320920436369	-17.296450321786
11	0.35277382645804	81.838309312814	100	158.14620851312	-2.4576284667345	83.266837313182	0.31512151118052
12	0.34349030470914	93.124660352245	100	171.64723241807	-7.5283359874026	47.016919513033	-14.574373164933
13	0.34421364985163	78.475317504881	100	188.83315290257	-6.5436470188389	11.774905187235	-1.1633277316837
14	0.34	71.545396004094	100	176.85502646817	8.6414200382914	96.204242233409	6.8414677441714
15	0.35190217391304	57.258543472244	100	150.09093105049	3.8281688454411	36.298472157801	-3.6311928872474
16	0.34632034632035	40.851352152812	100	119.50238535604	-24.99369341556	79.705189074503	-22.075952943282
17	0.34285714285714	146.69747656335	100	187.92744422208	13.959230273615	56.923254966221	6.0474684946325
18	0.33956834532374	96.482143926648	100	153.00358822469	-8.1915740238082	18.57152054237	-5.0733934801979
19	0.35042735042735	37.888963117218	100	131.34978327808	12.888963117218	65.421966513557	6.2370843285269
20	0.35310734463277	115.42850351627	100	158.69969314371	11.069626535141	23.379899046586	6.8238334766759
1	0.34473324213406	54.794654066257	100	190	-10.618951425804	4.699318517175	5.9718002616414
2	0.34177215189873	60.903760955806	100	158.03272607904	-18.317482239381	80.795122482892	5.1786850328311
3	0.35146443514644	66.681204501721	100	168.81886817618	-4.2096444184753	101.3206329509	12.977834718197
4	0.35041551246537	142.52754426818	100	190	3.6935984835867	32.323276082635	5.0673090954367
5	0.35428571428571	69.678764289371	100	142.87168764351	10.51949590776	65.560993885104	-16.591509621014
6	0.34782608695652	62.657065761698	100	141.65007905596	-14.341884851052	104.49719917541	-4.4017806039771
7	0.3515406162465	63.736113878129	100	138.35247165708	-4.9260019319294	42.110790732148	-11.121161890414
8	0.35632183908046	129.89720087768	100	125.22319805747	-12.478312582507	75.302843692099	6.5390926359207
9	0.34696755994358	98.78137132461	100	151.50294612269	1.0061791178841	80.076537081529	-8.5728892218527
10	0.33755274261603	77.985712596098	100	150.94110482975	-11.851734441232	53.977335122064	-15.169696777285
11	0.34428571428571	82.325608542548	100	158.7448174884	0.48729922973325	76.379162340676	0.59860897527683
12	0.34576757532281	84.976527866765	100	157.73597483288	-8.1481324854799	42.947143818939	-13.911257585193
13	0.33518776077886	74.742197002745	100	181.75963352834	-3.7331205021352	16.1461679874	-7.073519374232
14	0.34900284900285	84.782571330857	100	177.42719576732	13.237175326764	95.342373874199	0.57216929914694
15	0.34417344173442	63.366645391323	100	148.20634822791	6.1081019190788	35.474008407092	-1.8845828225799
16	0.34265734265734	27.373907252648	100	106.21496953287	-13.477444900165	78.135439233491	-13.287415823167
17	0.33193277310924	133.32393243899	100	180.14549753457	-13.373544124356	63.382179202562	-7.7819466875129
18	0.34097421203438	83.125832746255	100	151.56415816528	-13.356311180393	12.99178173927	-1.4394300594145
19	0.35367545076283	67.437105621952	100	146.71960399264	29.548142504734	69.16176088976	15.369820714557
20	0.36118980169972	114.81840422962	100	164.99311409416	-0.61009928665155	23.172497843975	6.2934209504464
1	0.34375	41.395310876904	93.698547711632	190	-13.399343189353	-6.301452288368	4.1664840008509
2	0.34248554913295	44.536700894623	100	163.50758073256	-16.367060061183	73.006573703947	5.474854653525
3	0.34497206703911	56.688873841711	100	177.92746324578	-9.9923306600097	95.078764058711	9.1085950695996
4	0.33239038189533	119.4031963426	100	180.19810343503	-23.124347925577	41.44514629535	-9.8018965649685
5	0.35285714285714	101.06147792401	100	117.18092350832	31.38271363464	59.999126498302	-25.690764135186
6	0.35465924895688	58.608726759296	100	143.44951594737	-4.0483390024019	103.2408140154	1.799436891413
7	0.35341365461847	64.743290894918	100	133.3838414907	1.0071770167891	43.004176516869	-4.9686301663772
8	0.33473389355742	105.53335988561	100	141.95516015352	-24.363840992075	76.764227769802	16.731962096053
9	0.33150684931507	94.64322360161	100	140.63513312366	-4.1381477230001	72.789242271047	-10.867812999021
10	0.34604105571848	80.786799570557	100	145.01845304428	2.8010869744591	58.540721028785	-5.9226517854679
11	0.33948863636364	95.627448066382	100	160.49179175326	13.301839523834	75.94440782419	1.7469742648616
12	0.35961272475795	65.058840574574	100	143.13451990174	-19.917687292191	40.065375388765	-14.60145493114
13	0.34502103786816	82.021856270328	100	165.82170529889	7.2796592675827	17.962350468423	-15.93792822945
14	0.33287482806052	99.720139267427	100	164.7289146739	14.937567936569	105.88555584162	-12.698281093414
15	0.3342736248237	77.117355529931	100	150.86545308249	13.750710138609	41.926607566383	2.6591048545818
16	0.35244755244755	38.32749707064	100	112.83215195968	10.953589817993	81.118306333428	6.617182426806
17	0.35014005602241	117.48086821714	100	171.29573527554	-15.843064221844	59.902752138961	-8.849762259028
18	0.35413642960813	63.161844217484	100	157.93623870021	-19.963988528771	9.7552580652969	6.3720805349363
19	0.34626436781609	92.257998203754	100	160.08692413324	24.820892581802	71.644431201125	13.367320140606
20	0.33903133903134	102.61175419848	100	167.95117399686	-12.206650031141	33.497845795104	2.9580599027021
1	0.34964028776978	46.266905822821	92.864752277807	181.58521876065	4.8715949459167	-0.83379543382522	-8.4147812393477
2	0.3519313304721	48.36526636101	100	166.56882424296	3.8285654663862	77.389744575381	3.0612435103954
3	0.33286516853933	47.0106744758	100	181.08346900081	-9.678199365912	89.495690045491	3.1560057550305
4	0.34716459197787	85.639667819303	100	165.3373047007	-33.763528523295	44.292727371861	-14.860798734328
5	0.34048640915594	134.1572087153	100	100	33.095730791293	58.690946384255	-18.527085284875
6	0.34909596662031	65.993075952392	100	150.38367354862	7.3843491930955	102.26046258609	6.9341576012478
7	0.34679665738162	73.601611779114	100	141.27769662038	8.8583208841954	42.520891956402	7.8938551296737
8	0.34396671289875	85.049672772174	100	156.31442976177	-20.483687113434	70.524677455971	14.359269608246
9	0.34745762711864	77.687606812288	100	130.10804708425	-16.955616789322	74.52676752055	-10.527086039411
10	0.34905660377358	100.27394891972	100	154.51409829878	19.487149349158	64.173510707577	9.4956452544963
11	0.34924965893588	107.33917020002	100	162.00131318239	11.711722133637	69.578764307313	1.5095214291362
12	0.34782608695652	46.073635586046	100	131.11531772481	-18.985204988528	37.13852167813	-12.019202176933
13	0.34664764621969	91.737490885585	100	153.4301957055	9.7156346152565	15.5243111673	-12.391509593384
14	0.35785007072136	111.80272468171	100	152.57301348634	12.082585414284	98.852394404006	-12.155901187561
15	0.3441466854725	88.44095508057	100	155.02445874767	11.323599550638	42.53035783303	4.1590056651785
16	0.35343618513324	56.602107903336	100	126.42223359355	18.274610832696	78.015661771437	13.590081633873
17	0.34664764621969	95.913516941859	100	160.44912388638	-21.567351275286	64.125251973131	-10.846611389164
18	0.34620689655172	35.101085868545	95.270286780084	173.2613558315	-28.060758348939	-4.7297132199156	15.325117131291
19	0.34714285714286	94.028601034138	100	161.66748416078	1.770602830384	75.798082505281	1.5805600275399
20	0.34419263456091	90.407686284434	100	167.72757242493	-12.204067914047	37.419157135269	-0.22360157193476
