Start of new run - 12/12/2011 6:53:31 PM
n	 fitness	 s1	 s2	 s3	 Vs1	 Vs2	 Vs3
6	0.28077455048409	170.08778804619	157.57171605431	150.38140388501	-29.912211953814	-36.459561408927	-49.618596114994
7	0.32080924855491	149.36794385458	123.97646776546	86.643410732248	70.176379271596	61.144587876161	-22.604520496123
8	0.3179347826087	0	193.43027312518	0	-18.94395973693	-3.6982505246191	-80.259283178198
9	0.29461756373938	0	200	73.586982854582	-4.2048542741172	26.898848323008	14.251658460375
10	0.28409090909091	188.78662074343	200	48.700023273155	-11.213379256569	31.313825251015	35.912942307549
1	0.30707610146862	110.62903727117	44.823407031733	0	5.1557287198314	28.071300335972	-68.099506147317
2	0.29130434782609	176.87227154765	180.94591259428	20.387753714546	113.69297103709	-19.05408740572	20.387753714546
3	0.3125	97.311834822858	141.14413934958	31.549736456397	67.572505195489	56.931488132587	-5.9753838381112
4	0.29478138222849	176.68082340763	150.73687468287	66.566449291493	-11.045925754282	19.759847089194	31.531475980181
5	0.32644017725258	98.493605599824	48.249669370641	28.12521929706	62.756769820292	37.07507067543	-12.342772628045
6	0.30747126436782	139.77610816521	119.05644136309	86.969265628683	-30.31167988098	-38.515274691219	-63.412138256323
7	0.31214689265537	200	149.6865167018	70.425366937742	51.868519595127	25.710048936341	-16.218043794506
8	0.31332357247438	0	178.82341510808	0	-7.1095048687426	-14.606858017108	-70.378266549116
9	0.32633053221289	20.454800114738	200	81.588726234298	20.454800114738	14.629451855271	8.0017433797155
10	0.30095759233926	167.0676513175	199.27795757993	88.588605754042	-21.718969425929	-0.7220424200718	39.888582480887
1	0.30040595399188	116.17485755782	59.574710435039	0	5.5458202866501	14.751303403306	-61.135053941244
2	0.29824561403509	200	142.48252084405	55.577308973777	100.96669656966	-38.463391750232	35.189555259231
3	0.32673267326733	163.20011479902	191.81201951905	26.367441646275	65.888279976161	50.667880169475	-5.1822948101226
4	0.32352941176471	169.36810165678	163.81846393278	87.441196720165	-7.3127217508442	13.081589249909	20.874747428671
5	0.29634831460674	180.80892849887	105.56794814265	19.017193350937	82.315322899048	57.318278772009	-9.1080259461237
6	0.28612303290415	129.3413990995	90.404252504404	11.323442795543	-10.434709065704	-28.652188858686	-75.64582283314
