Start of new run - 12/12/2011 6:53:31 PM
iterationVoltage no=6, best_conf_fitness=0.35378031383738 ,e1=93.619940794092 ,e2=200 ,e3=54.696307260353
iterationVoltage no=7, best_conf_fitness=0.35378031383738 ,e1=93.619940794092 ,e2=200 ,e3=54.696307260353
iterationVoltage no=8, best_conf_fitness=0.37199434229137 ,e1=134.57110203315 ,e2=200 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.37199434229137 ,e1=134.57110203315 ,e2=200 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.37199434229137 ,e1=134.57110203315 ,e2=200 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.37199434229137 ,e1=134.57110203315 ,e2=200 ,e3=0
iterationVoltage no=12, best_conf_fitness=0.37199434229137 ,e1=134.57110203315 ,e2=200 ,e3=0
iterationVoltage no=13, best_conf_fitness=0.37199434229137 ,e1=134.57110203315 ,e2=200 ,e3=0
iterationVoltage no=14, best_conf_fitness=0.37199434229137 ,e1=134.57110203315 ,e2=200 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.32967032967033 ,e1=121 ,e2=199 ,e3=66
iterationVoltage no=2, best_conf_fitness=0.32967032967033 ,e1=121 ,e2=199 ,e3=66
iterationVoltage no=3, best_conf_fitness=0.33098591549296 ,e1=0 ,e2=0 ,e3=0
iterationVoltage no=4, best_conf_fitness=0.33193277310924 ,e1=200 ,e2=0 ,e3=65.923117218327
iterationVoltage no=5, best_conf_fitness=0.33193277310924 ,e1=200 ,e2=0 ,e3=65.923117218327
iterationVoltage no=6, best_conf_fitness=0.33193277310924 ,e1=200 ,e2=0 ,e3=65.923117218327
iterationVoltage no=7, best_conf_fitness=0.33193277310924 ,e1=200 ,e2=0 ,e3=65.923117218327
iterationVoltage no=8, best_conf_fitness=0.33193277310924 ,e1=200 ,e2=0 ,e3=65.923117218327
iterationVoltage no=9, best_conf_fitness=0.33193277310924 ,e1=200 ,e2=0 ,e3=65.923117218327
iterationVoltage no=10, best_conf_fitness=0.33193277310924 ,e1=200 ,e2=0 ,e3=65.923117218327
iterationVoltage no=1, best_conf_fitness=0.3213296398892 ,e1=84 ,e2=142 ,e3=89
iterationVoltage no=2, best_conf_fitness=0.33520336605891 ,e1=0 ,e2=200 ,e3=167.00799279763
iterationVoltage no=3, best_conf_fitness=0.33520336605891 ,e1=0 ,e2=200 ,e3=167.00799279763
iterationVoltage no=4, best_conf_fitness=0.33520336605891 ,e1=0 ,e2=200 ,e3=167.00799279763
iterationVoltage no=5, best_conf_fitness=0.33520336605891 ,e1=0 ,e2=200 ,e3=167.00799279763
iterationVoltage no=6, best_conf_fitness=0.33520336605891 ,e1=0 ,e2=200 ,e3=167.00799279763
iterationVoltage no=7, best_conf_fitness=0.35072463768116 ,e1=0 ,e2=200 ,e3=200
iterationVoltage no=8, best_conf_fitness=0.35072463768116 ,e1=0 ,e2=200 ,e3=200
iterationVoltage no=9, best_conf_fitness=0.35072463768116 ,e1=0 ,e2=200 ,e3=200
iterationVoltage no=10, best_conf_fitness=0.35072463768116 ,e1=0 ,e2=200 ,e3=200
iterationVoltage no=11, best_conf_fitness=0.35072463768116 ,e1=0 ,e2=200 ,e3=200
iterationVoltage no=12, best_conf_fitness=0.35087719298246 ,e1=35.578373585715 ,e2=193.90954431455 ,e3=171.52210512633
iterationVoltage no=13, best_conf_fitness=0.35087719298246 ,e1=35.578373585715 ,e2=193.90954431455 ,e3=171.52210512633
iterationVoltage no=14, best_conf_fitness=0.35087719298246 ,e1=35.578373585715 ,e2=193.90954431455 ,e3=171.52210512633
iterationVoltage no=15, best_conf_fitness=0.35087719298246 ,e1=35.578373585715 ,e2=193.90954431455 ,e3=171.52210512633
iterationVoltage no=16, best_conf_fitness=0.35087719298246 ,e1=35.578373585715 ,e2=193.90954431455 ,e3=171.52210512633
iterationVoltage no=17, best_conf_fitness=0.35087719298246 ,e1=35.578373585715 ,e2=193.90954431455 ,e3=171.52210512633
iterationVoltage no=18, best_conf_fitness=0.35087719298246 ,e1=35.578373585715 ,e2=193.90954431455 ,e3=171.52210512633
iterationVoltage no=1, best_conf_fitness=0.33333333333333 ,e1=98 ,e2=182 ,e3=39
iterationVoltage no=2, best_conf_fitness=0.33382137628111 ,e1=54.310791344951 ,e2=19.017090365307 ,e3=0
iterationVoltage no=3, best_conf_fitness=0.34177215189873 ,e1=200 ,e2=129.90190899129 ,e3=191.67955824233
iterationVoltage no=4, best_conf_fitness=0.34177215189873 ,e1=200 ,e2=129.90190899129 ,e3=191.67955824233
